tanggal,harga_cabai_merah,harga_cabai_rawit,suhu_rata,kelembaban,curah_hujan,lama_penyinaran,kec_angin,is_libur_nasional,bulan,kuartal,is_weekend,is_awal_bulan,bulan_sin,bulan_cos,is_pra_lebaran,is_lebaran,is_pasca_lebaran,is_natal_tahunbaru,is_musim_panen,lag_1,lag_7,lag_14,lag_30,rawit_lag_1,rawit_lag_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,momentum_7,rasio_tren_7_30,volatilitas_14,roll_hujan_30,is_hari_hujan
2022-02-02,25500.0,45750.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,26000.0,24750.0,26250.0,42500.0,46000.0,49000.0,26750.0,1185.3660162971833,32225.0,7026.978321405428,1250.0,0.8301008533747091,0.0421912137048214,370.59999999999997,0
2022-02-03,26500.0,45750.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,25500.0,28500.0,26250.0,42500.0,45750.0,48000.0,26857.14285714286,992.6982096535681,31658.333333333332,6853.1165128499915,-3000.0,0.8483435490542625,0.04282755264519041,370.59999999999997,0
2022-02-04,25500.0,45250.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,26500.0,27500.0,26250.0,42500.0,45750.0,47500.0,26571.428571428572,679.4411024068771,31125.0,6598.1301049029,-1000.0,0.8537005163511188,0.04295649935713024,370.59999999999997,0
2022-02-05,27000.0,42833.333333333336,29.3,77.0,5.2,5.025,1.0,0,2,1,1,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,25500.0,27166.666666666668,25750.0,42500.0,45250.0,47083.333333333336,26285.714285714286,643.4447637682842,30558.333333333332,6311.295217148977,-1666.6666666666679,0.860181541937746,0.04351681700755375,370.59999999999997,0
2022-02-06,28500.0,40416.666666666664,29.3,77.0,5.2,5.025,1.0,0,2,1,1,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,27000.0,26833.333333333332,25250.0,42500.0,42833.333333333336,46666.666666666664,26261.904761904763,607.4928962936751,30041.666666666668,5922.461546205548,166.66666666666788,0.8741826827818506,0.04414142209138389,370.59999999999997,0
2022-02-07,30000.0,38000.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,28500.0,26500.0,24750.0,42500.0,40416.666666666664,46250.0,26500.0,1040.8329997329038,29575.0,5438.763505378114,2000.0,0.8960270498732037,0.04827394705869673,370.59999999999997,0
2022-02-08,32000.0,41500.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,30000.0,26000.0,24750.0,42500.0,38000.0,46000.0,27000.0,1683.2508230602468,29158.333333333332,4862.740011706961,4000.0,0.9259788511003144,0.05603607574924335,370.59999999999997,0
2022-02-09,32500.0,40000.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,32000.0,25500.0,24750.0,42500.0,41500.0,45750.0,27857.14285714286,2444.624812970315,28808.333333333332,4202.384266687673,6500.0,0.966982106698624,0.07079916420726276,370.59999999999997,0
2022-02-10,36000.0,34500.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,32500.0,26500.0,28500.0,34500.0,40000.0,45750.0,28857.14285714286,2734.26232761053,28475.0,3398.6523980256115,6000.0,1.0134202934905305,0.08012686827725383,370.59999999999997,0
2022-02-11,36000.0,34500.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,36000.0,25500.0,27500.0,34500.0,34500.0,45250.0,30214.285714285714,3592.319850008013,28525.0,3499.873424093249,10500.0,1.0592212345060723,0.10992917749607092,370.59999999999997,0
2022-02-12,36666.666666666664,34666.666666666664,29.3,77.0,5.2,5.025,1.0,0,2,1,1,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,36000.0,27000.0,27166.666666666668,34500.0,34500.0,42833.333333333336,31714.285714285714,3486.368010517766,28575.0,3597.5293512284325,9000.0,1.1098612673415822,0.12779592612325752,370.59999999999997,0
2022-02-13,37333.333333333336,34833.333333333336,29.3,77.0,5.2,5.025,1.0,0,2,1,1,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,36666.666666666664,28500.0,26833.333333333332,34500.0,34666.666666666664,40416.666666666664,33095.23809523809,3211.462605027773,28647.222222222223,3739.52453421792,8166.666666666664,1.1552686622986243,0.1409615447479043,370.59999999999997,0
2022-02-14,38000.0,35000.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,37333.333333333336,30000.0,26500.0,33250.0,34833.333333333336,38000.0,34357.142857142855,2816.006779092319,28741.666666666668,3923.6822714192444,7333.333333333336,1.1953775421447208,0.14981313227797372,370.59999999999997,0
2022-02-15,41500.0,33500.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,38000.0,32000.0,26000.0,32000.0,35000.0,41500.0,35500.0,2335.3166174425755,28900.0,4198.122641904947,6000.0,1.2283737024221453,0.15438701508660085,370.59999999999997,0
2022-02-16,41000.0,34000.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,41500.0,32500.0,25500.0,30750.0,33500.0,40000.0,36857.142857142855,2695.0375717654206,29216.666666666668,4760.630371344422,9000.0,1.2615108793089396,0.1632952250565588,370.59999999999997,0
2022-02-17,37500.0,33500.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,41000.0,36000.0,26500.0,26250.0,34000.0,34500.0,38071.42857142857,2288.9774986700377,29558.333333333332,5220.114262339213,5000.0,1.2880099883201097,0.1601642315232547,370.59999999999997,0
2022-02-18,37500.0,33000.0,29.3,77.0,5.2,5.025,1.0,0,2,1,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,37500.0,36000.0,25500.0,26250.0,33500.0,34500.0,38285.71428571428,2127.235829693556,29933.333333333332,5376.014561647847,1500.0,1.279032771237671,0.1476818271521272,370.59999999999997,0
2022-02-19,39166.666666666664,32333.333333333332,29.3,77.0,5.2,5.025,1.0,0,2,1,1,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,37500.0,36666.666666666664,27000.0,26250.0,33000.0,34666.666666666664,38500.0,1924.5008972986905,30308.333333333332,5501.138422759423,833.3333333333358,1.2702777014022546,0.12647855354364987,370.59999999999997,0
2022-02-20,40833.333333333336,31666.666666666668,29.3,77.0,5.2,5.025,1.0,0,2,1,1,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,39166.666666666664,37333.333333333336,28500.0,26250.0,32333.333333333332,34833.333333333336,38857.142857142855,1751.7942427074117,30738.888888888887,5675.269557176598,1833.3333333333285,1.2641036895510056,0.10806514901052623,370.59999999999997,0
