fitur,tipe,null_count,min_asli,max_asli,mean_asli,std_asli
suhu_rata,float64,0,23.9,30.5,28.56,1.03
kelembaban,float64,0,56.0,93.0,77.07,3.69
curah_hujan,float64,0,0.0,237.5,9.98,18.16
lama_penyinaran,float64,0,0.0,9.5,5.82,2.06
kec_angin,float64,0,0.0,1.0,0.91,0.28
is_libur_nasional,int64,0,0.0,1.0,0.07,0.26
tahun,int32,0,2022.0,2026.0,2023.71,1.24
bulan,int32,0,1.0,12.0,6.34,3.46
hari_bulan,int32,0,1.0,31.0,15.65,8.78
hari_minggu,int32,0,0.0,6.0,3.0,2.0
minggu_ke,int64,0,1.0,52.0,25.67,15.06
kuartal,int32,0,1.0,4.0,2.45,1.13
is_weekend,int64,0,0.0,1.0,0.29,0.45
hari_dlm_tahun,int32,0,1.0,366.0,177.6,105.83
bulan_sin,float64,0,-1.0,1.0,0.04,0.72
bulan_cos,float64,0,-1.0,1.0,0.0,0.7
hari_sin,float64,0,-0.97,0.97,0.0,0.71
hari_cos,float64,0,-0.9,1.0,-0.0,0.71
is_pra_lebaran,int64,0,0.0,0.0,0.0,0.0
is_lebaran,int64,0,0.0,1.0,0.0,0.06
is_pasca_lebaran,int64,0,0.0,0.0,0.0,0.0
is_natal_tahunbaru,int64,0,0.0,1.0,0.05,0.22
is_musim_panen,int64,0,0.0,1.0,0.48,0.5
lag_1,float64,0,22000.0,97250.0,48907.68,18321.89
lag_2,float64,0,22000.0,97250.0,48897.43,18330.02
lag_3,float64,0,22000.0,97250.0,48888.86,18337.26
lag_7,float64,0,22000.0,97250.0,48860.48,18362.84
lag_14,float64,0,22000.0,97250.0,48818.65,18404.36
lag_21,float64,0,22000.0,97250.0,48808.24,18413.24
lag_30,float64,0,22000.0,97250.0,48789.68,18418.49
rawit_lag_1,float64,0,19000.0,74500.0,41195.2,12375.31
rawit_lag_7,float64,0,19000.0,74500.0,41267.46,12357.52
roll_mean_3,float64,0,22666.67,95500.0,48897.99,18238.51
roll_std_3,float64,0,0.0,24892.69,1447.71,1704.7
roll_min_3,float64,0,22000.0,94916.67,47526.09,17898.7
roll_max_3,float64,0,23000.0,97250.0,50282.11,18682.58
roll_mean_7,float64,0,23357.14,94625.0,48883.0,18045.89
roll_std_7,float64,0,0.0,24529.68,2646.0,2365.9
roll_min_7,float64,0,22000.0,93750.0,45535.38,17326.21
roll_max_7,float64,0,24000.0,97250.0,52455.54,19112.9
roll_mean_14,float64,0,24023.81,93819.64,48857.75,17668.66
roll_std_14,float64,0,0.0,25360.02,4129.1,3165.18
roll_min_14,float64,0,22000.0,90250.0,43020.55,16551.33
roll_max_14,float64,0,25166.67,97250.0,55504.05,19468.96
roll_mean_30,float64,0,24363.89,92923.61,48828.21,16792.06
roll_std_30,float64,0,1075.62,24565.28,6435.16,4097.91
roll_min_30,float64,0,22000.0,89500.0,39066.1,14594.82
roll_max_30,float64,0,27000.0,97250.0,60414.03,19660.48
momentum_7,float64,0,-52500.0,25900.0,47.2,8074.26
momentum_30,float64,0,-59250.0,63375.0,118.0,17961.59
pct_change_1,float64,0,-0.5,0.31,0.0,0.05
pct_change_7,float64,0,-0.66,0.77,0.02,0.18
roll_suhu_7,float64,0,25.04,29.39,27.7,0.43
roll_suhu_30,float64,0,26.28,29.3,27.7,0.3
roll_hujan_7,float64,0,0.0,699.8,78.39,64.91
roll_hujan_30,float64,0,5.2,1304.95,380.7,150.0
is_hari_hujan,int64,0,0.0,1.0,0.23,0.42
roll_hr_hujan_30,float64,0,0.0,29.0,6.84,8.78
roll_kelembaban_7,float64,0,67.86,90.14,77.71,2.44
