fitur,tipe,null_count,min_asli,max_asli,mean_asli,std_asli
suhu_rata,float64,0,23.9,30.5,28.55,1.03
kelembaban,float64,0,56.0,93.0,77.11,3.66
curah_hujan,float64,0,0.0,237.5,10.15,18.46
lama_penyinaran,float64,0,0.0,9.5,5.76,2.15
kec_angin,float64,0,0.0,1.0,0.91,0.28
is_libur_nasional,int64,0,0.0,1.0,0.07,0.26
kuartal,int32,0,1.0,4.0,2.45,1.13
is_weekend,int64,0,0.0,1.0,0.29,0.45
is_awal_bulan,int64,0,0.0,1.0,0.23,0.42
minggu_sin,float64,0,-1.0,1.0,0.05,0.72
minggu_cos,float64,0,-1.0,1.0,0.01,0.7
is_lebaran,int64,0,0.0,1.0,0.0,0.06
is_natal_tahunbaru,int64,0,0.0,1.0,0.05,0.22
is_musim_panen,int64,0,0.0,1.0,0.48,0.5
days_to_lebaran,int64,0,0.0,177.0,84.69,51.56
lag_1,float64,0,22000.0,97250.0,48851.66,18310.88
lag_7,float64,0,22000.0,97250.0,48805.11,18350.95
lag_14,float64,0,22000.0,97250.0,48765.56,18389.94
lag_21,float64,0,22000.0,97250.0,48753.84,18398.76
lag_30,float64,0,22000.0,97250.0,48734.8,18404.09
rawit_lag_1,float64,0,19000.0,74500.0,41428.84,12851.89
rawit_lag_7,float64,0,19000.0,74500.0,41501.92,12833.79
rawit_lag_14,float64,0,19000.0,74500.0,41604.95,12832.44
rawit_lag_30,float64,0,19000.0,74500.0,41828.91,12921.06
rasio_merah_rawit,float64,0,0.5,2.71,1.21,0.38
roll_std_7,float64,0,0.0,24274.78,2811.4,2524.31
ema_7,float64,0,23462.25,94800.9,48828.18,17798.21
roll_mean_30,float64,0,24275.0,92550.0,48773.95,16731.65
roll_std_30,float64,0,1098.07,24586.65,6546.49,4113.6
ema_30,float64,0,25730.41,89863.66,48787.54,15977.12
ema_crossover_7_30,float64,0,-24659.65,21376.56,40.64,6237.81
momentum_7,float64,0,-52500.0,25900.0,46.55,8232.82
momentum_3,float64,0,-47500.0,22750.0,24.9,5657.18
rasio_tren_7_30,float64,0,0.45,1.47,1.01,0.16
volatilitas_14,float64,0,0.0,0.51,0.09,0.06
lag_hujan_14,float64,0,0.0,237.5,9.97,18.41
lag_hujan_21,float64,0,0.0,237.5,9.88,18.39
roll_hujan_14,float64,0,0.0,1002.3,140.99,124.4
roll_hujan_21,float64,0,37.7,1089.4,210.54,168.76
roll_hujan_30,float64,0,101.7,1304.7,299.05,221.85
roll_hujan_60,float64,0,161.2,1760.5,585.08,382.41
hujan_ekstrem_3hari,int64,0,0.0,3.0,0.11,0.41
max_hujan_7,float64,0,0.0,237.5,23.57,36.2
is_hari_hujan,int64,0,0.0,1.0,0.83,0.38
pct_change_1,float64,0,-50.31,41.59,0.21,5.99
pct_change_3,float64,0,-59.38,74.34,0.72,11.31
pct_change_7,float64,0,-65.62,77.48,1.81,18.12
arah_lag1,float64,0,-1.0,1.0,-0.04,0.74
arah_lag2,float64,0,-1.0,1.0,-0.04,0.74
arah_lag3,float64,0,-1.0,1.0,-0.04,0.74
streak_naik_3,int64,0,0.0,3.0,0.77,0.81
prop_naik_7,float64,0,0.0,0.71,0.26,0.18
prop_naik_14,float64,0,0.0,0.64,0.26,0.13
is_pasca_covid,int64,0,0.0,1.0,0.22,0.41
